Product Name,Price,Discount,Rate,Category,Company,Product Page
Havit باور بانك هافيت PB5214 بسعة 10000 مللي أمبير PD 35 وات - وردي,799.00 جنيه,33%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/havit-pb5214-mini-power-bank-10000mah-pd35wat-pink-122956919.html
فيش كهرباء ذكية متعدد الاستخدامات الكل في واحد، محول لمقبس الطاقة، للسفر الدولي للولايات المتحدة، والمملكة المتحدة، واستراليا، والاتحاد الأوروبي، مضاد للصدمات الكهربائية,111.55 جنيه,7%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-all-in-one-smart-multi-purpose-power-plug-adapter-power-socket-adapter-for-international-travel-to-us-uk-au-eu-shockproof-133812663.html
XIAOMI Mi سماعات الأذن الأساسية - فضي غير لامع,366.00 جنيه,27%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/xiaomi-mi-in-ear-headphones-basic-matte-silver-133614332.html
"Havit UC25W PD Type-C Wall Charger Fast Charger 25W - Black With High Speed Charger For Samsung 25watt. Compatible with Samsung smartphones, iPhones, tablets, and other USB-C PD-enabled devices.",199.00 جنيه,34%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/havit-uc25w-pd-type-c-wall-charger-fast-charger-25w-black-with-high-speed-charger-for-samsung-25watt.-compatible-with-samsung-smartphones-iphones-tablets-and-other-usb-c-pd-enabled-devices.-52047216.html
JSAUX كابل HDMI JSAUX 8K بطول 3 متر - كابل HDMI عالي السرعة,155.00 جنيه,40%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/jsaux-8k-hdmi-cable-3m-high-speed-hdmi-2.1-cord-with-earc-hdr10-and-48gbps-support-51102736.html
Dadu شاحن السيارة السريع دادو DC-148 بقدرة 85 وات,399.00 جنيه,43%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/dadu-dadu-dc-148-85w-fast-car-charger-130779065.html
"JSAUX (CC0020) USB C to USB C Cable 100W/5A [1pcs 1M], QC 4.0/USB PD Type-C Fast Charging Cord Compatible with MacBook Pro/Air M2, iPad Pro 12.9/iPad Air/Mini 6 Samsung Galaxy S23 S22 S21 Black",143.10 جنيه,38%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/jsaux-cc0020-usb-c-to-usb-c-cable-100w5a-1pcs-1m-qc-4.0usb-pd-type-c-fast-charging-cord-compatible-with-macbook-proair-m2-ipad-pro-12.9ipad-airmini-6-samsung-galaxy-s23-s22-s21-black-108644747.html
حامل موبايل السيارة,142.01 جنيه,53%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/car-mobile-phone-holder-generic-mpg850737.html
نضارة الواقع الافتراضي ثلاثية الابعاد,848.00 جنيه,No discount,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-3d-vr-glasses-fits-phones-between-4.7-and-6.0-inch-adjustable-lens-distance-for-clear-view-remote-control-for-easy-control-made-of-high-quality-materials-model-mj3-08-130116235.html
"ساعة ذكية سمارت ووتش الترا، شاشة عرض كاملة 2,2 اموليد, شحن لاسلكي, متوافقة مع جوالات ايفون واندرويد، سوار سيليكون (برتقالي)",629.10 جنيه,58%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-smart-watch-ultra-large-infinite-2.2-amoled-display-wireless-charging-supports-multiple-sports-modes-compatible-with-iphone-and-android-phones-silicone-band-orange-53263953.html
universal stylus pen for ios/android/windos,297.00 جنيه,10%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-universal-stylus-pen-for-iosandroidwindos-128686680.html
Motorola سماعات بلوتوث لاسلكية قوية مع ميكروفون وسماعات أذن - عزل الضوضاء، عمر بطارية 24 ساعة، وصوت ديناميكي قوي - MOTO XT220,"1,022.00 جنيه",No discount,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/motorola-powerful-wireless-bluetooth-headphones-with-microphone-and-earbuds-noise-isolation-24-hour-battery-life-and-powerful-dynamic-sound-moto-xt220-133649456.html
Vivo V60 5G 256GB/12GB Mobile Phone - Gray,"23,999.00 جنيه",16%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/vivo-v60-5g-256gb12gb-mobile-phone-gray-133849624.html
"Samsung Galaxy Tab S10 FE 5G Single SIM, 12GB, 256GB - Gray","26,950.00 جنيه",18%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/galaxy-tab-s10-fe-5g-single-sim-12gb-256gb-gray-samsung-mpg3861192.html
"Samsung Galaxy Tab S10 Lite 5G Single SIM 6GB , 128GB, Gray","15,899.00 جنيه",18%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/samsung-galaxy-tab-s10-lite-5g-single-sim-6gb-128gb-gray-133830167.html
OPPO رينو 14f شريحتين اتصال 5G 256 جيجابايت/12 جيجابايت - أوبال أزرق,"19,060.00 جنيه",14%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oppo-reno-14f-dual-sim-5g-256gb12gb-opal-blue-133734876.html
Samsung جالاكسي S25 Ultra، شريحة واحدة، 256 جيجابايت، 12 جيجابايت رام، 5G - تيتانيوم فضي أزرق,"65,729.00 جنيه",20%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/samsung-galaxy-s25-ultra-single-sim-256gb-12gb-ram-5g-titanium-silver-blue-133654346.html
Apple ابل ايفون 16 بلس - 256 جيجا بايت - أسود (ضمان محلي),"68,799.00 جنيه",5%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/apple-iphone-16-plus-256gb-black-official-warranty-130264133.html
Oraimo سماعات FreePods Neo ENC اللاسلكية - أسود,499.00 جنيه,29%,4.2 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oraimo-freepods-neo-enc-wireless-earbuds-black-132085261.html
Oraimo سماعات رأس مفتوحة - زرقاء,"1,099.00 جنيه",52%,4.4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oraimo-open-circlet-bluetooth-headphones-opn-40d-nebula-blue-107446369.html
Oraimo كابل أورايمو OCD-173CC - كابل بيانات PulsLine 5A بطول 3م (Type C إلى Type-C) - رمادي,199.00 جنيه,33%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oraimo-ocd-173cc-pulsline-date-cable-5a-3m-type-c-to-type-c-grey-131936014.html
كابل شحن أصلي 4*1 USB A/USB C إلى Type-C وLightning بقوة شحن سريعة 65 واط,69.90 جنيه - 129.00 جنيه,53%,4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-41-charging-cable-usb-ausb-c-to-type-c-lightning-65w-fast-turbo-charging-cable-130124149.html
Vidvie كابل فيدفي Type-C الأصلي السريع 3.1A مع تقنية Auto-ID بطول 100 سم - VI-C510,69.90 جنيه,65%,4.2 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/vidvie-type-c-fast-original-cable-3.1a-with-auto-id-100cm-vi-c510-106663379.html
كابل شحن سريع ثلاثي 3 في 1 (Type-C، Lightning، وMicro USB),79.90 جنيه,68%,3.7 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-ast-charging-cable-3-in-1-type-c-lightning-and-micro-usb-104964030.html
Samsung Galaxy A07 Dual SIM 4G 64GB/4GB Mobile Phone - Black,"4,899.00 جنيه",5%,4.8 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/galaxy-a07-dual-sim-4g-64gb4gb-mobile-phone-black-samsung-mpg3869995.html
محول تايب سي الي  USB جسم معدني  لتشغيل فلاشة علي الموبايل,49.00 جنيه,51%,4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/otg-type-c-to-usb-converter-adapter-silver-generic-mpg786572.html
Oraimo سماعات FreePods 3C ENC اللاسلكية الحقيقية - أسود -موديل oeb-e104dc,889.00 جنيه,26%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oraimo-freepods-3c-enc-true-wireless-earbuds-black-modeloeb-e104dc-132085260.html
Samsung هاتف سامسونج جالاكسي A26 ثنائي الشريحة 5G بسعة 256 جيجابايت/8 جيجابايت - أسود,"13,299.00 جنيه",7%,3.8 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/samsung-galaxy-a26-dual-sim-5g-256gb8gb-mobile-phone-black-131618224.html
Oraimo كابل بيانات أورايمو OCD-C32 - نوع C بطول 1 متر - أسود,75.00 جنيه,37%,4.6 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oraimo-ocd-c32-type-c-data-cable-1m-black-107446345.html
Oraimo شاحن حائط أورايمو OCW-E106S-CL55 - باور كيوب 20 بقوة 20 واط - أبيض,222.00 جنيه,26%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oraimo-ocw-e106s-cl55-power-cube-20-20w-wall-charger-kit-white-107446304.html
Anker أنكر سماعات أذن بلوتوث لاسلكية مع ميكروفون - أسود,"2,299.00 جنيه",18%,4.4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/anker-anker-soundcore-p40i-noise-cancelling-bluetooth-earphones-wireless-with-mic-black-101137992.html
Honor هاتف ذكي X6c بشريحتي اتصال – شبكة 4G – سعة تخزين 256 جيجابايت –  6 جيجابايت – اللون الأسود الليلي,"6,099.00 جنيه",10%,4.7 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/honor-x6c-dual-sim-4g-smartphone-256gb-storage-6gb-ram-midnight-black-133130996.html
ساعة T1000 الذكية,271.00 جنيه,77%,3.4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-t1000-smart-watch-wireless-bluetooth-fitness-tracker-130834395.html
ساعة GT3 Pro الذكية 46 مم 22 مم حزام بديل من السيليكون والجلد - مشبك فضي جمل,175.00 جنيه,42%,3.9 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-watch-gt3-pro-smart-watch-46mm-22mm-silicone-leather-replacement-strap-watchband-camel-silver-buckle-34082009.html
"Earldom Earldom ET-BH75 Wireless Earphones - Premium Sound, Long Battery Life  And BT 5.0",239.00 جنيه,63%,4.5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/et-bh75-wireless-earphones-premium-sound-long-battery-life-and-bt-5.0-earldom-mpg3843435.html
JOY ROOM باور بانك JOY ROOM الأصلي JR-QP191 بسعة 10000 مللي أمبير مع شاشة رقمية - شحن سريع 22.5 واط,649.00 جنيه,24%,4.3 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/joy-room-orignal-jr-qp191-compact-10000mah-digital-display-power-bank-fast-charging-22.5w-119362369.html
JOY ROOM باور بانك JOYROOM بسعة 10000 مللي أمبير مع مؤشر LED - تصميم مدمج وتوافق متعدد المنافذ,429.90 جنيه,55%,3.8 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/joy-room-10000mah-2.4a-led-power-bank-jr-pbf12-compact-design-and-multi-port-compatibility-111207291.html
حامل الهاتف الذكي الصغير المتوافق مع جميع الهواتف الذكية - أبيض,40.50 جنيه,73%,4.2 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-mini-stand-holder-compatible-with-all-smart-phones-white-60801294.html
ساعة T800,257.00 جنيه,71%,3.4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-t800-smart-watch-wireless-bluetooth-fitness-tracker-130834394.html
Earldom حامل تثبيت مغناطيسي - أسود.,119.00 جنيه,34%,4.7 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/earldom-magnetic-mount-holder-black.-26284927.html
Matrix باور بانك ماتريكس S10 بسعة 10000 مللي أمبير مع شحن سريع 22.5 واط - أسود,349.00 جنيه,56%,3 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/matrix-s10-10000mah-power-bank-fast-charging-22.5w-slim-black-130262102.html
XIAOMI هاتف شاومي ريدمي نوت 14 - ثنائي الشريحة 4G بسعة 256 جيجابايت وذاكرة 8 جيجابايت - أسود منتصف الليل,"9,898.00 جنيه",22%,4.9 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/xiaomi-redmi-note-14-dual-sim-4g-256gb8gb-mobile-phone-midnight-black-130836296.html
Oraimo سبيس بودز نيو سماعات أذن بريميوم لأسلوب حياة ديناميكي وصوت غامر - سبيد بلاك - OTW-323,626.00 جنيه,69%,5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oraimo-spacebuds-neo-premium-earbuds-immersive-audio-for-dynamic-lifestyles-speed-black-otw-323-133851677.html
Anker أنكر سماعات أذن بلوتوث لاسلكية مع ميكروفون - أزرق,"2,505.00 جنيه",24%,4.7 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/anker-anker-soundcore-p40i-noise-cancelling-bluetooth-earphones-blue-101137996.html
universal stylus pen for ios/android/windos,297.00 جنيه,10%,3.8 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-universal-stylus-pen-for-iosandroidwindos-128686680.html
XIAOMI شاومى ريدمى نوت 14 - رامات 8 جيجا - 256 جيجا بايت - أسود,"9,799.00 جنيه",5%,4.6 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/xiaomi-redmi-note-14-8gb-ram-256gb-midnight-black-130150479.html
OPPO A5i ثنائي الشريحة 4G 128GB/4GB - أحمر سديم,"6,299.00 جنيه",10%,4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/oppo-a5i-dual-sim-4g-128gb4gb-nebula-red-133846652.html
سماعات AirPods Pro 2 بتصميم أنيق وجودة صوت ممتازة - TYPE-C,345.00 جنيه,65%,4 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-ds-pro-2-headphones-with-stylish-design-and-excellent-sound-quality-type-c-132121573.html
سماعات M10 TWS بلوتوث,160.00 جنيه,60%,3.5 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-m10-tws-bluetooth-earbuds-125637978.html
شاحن سريع مزدوج 120 واط بتقنية GaN وكابل شحن متعدد المآخذ من EL-TERND - أصفر,359.58 جنيه,No discount,4.2 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-120w-dual-port-fast-charger-with-gan-technology-multi-socket-charging-cable-by-el-ternd-yellow-133066950.html
جراب مغناطيسي لهاتف سامسونج جالاكسي A56 وA36 من توب ستور,155.00 جنيه,48%,3.9 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/generic-top-store-magnetic-case-for-samsung-galaxy-a56-and-a36-transparent-shockproof-military-cover-hard-pc-liquid-silicone-transparent-131800541.html
"Havit UC25W PD Type-C Wall Charger Fast Charger 25W - Black With High Speed Charger For Samsung 25watt. Compatible with Samsung smartphones, iPhones, tablets, and other USB-C PD-enabled devices.",199.00 جنيه,34%,4.6 out of 5,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/havit-uc25w-pd-type-c-wall-charger-fast-charger-25w-black-with-high-speed-charger-for-samsung-25watt.-compatible-with-samsung-smartphones-iphones-tablets-and-other-usb-c-pd-enabled-devices.-52047216.html
Havit باور بانك هافيت PB5214 بسعة 10000 مللي أمبير PD 35 وات - وردي,799.00 جنيه,33%,Rate not found,mobiles-and-accessories,Jumia,https://www.jumia.com.eg/ar/havit-pb5214-mini-power-bank-10000mah-pd35wat-pink-122956919.html
